"via_img_id","filename","size","name","x","y","width","height","order","conf_order","insect_body_view","box_img_quality","suborder","conf_suborder","infraorder","conf_infraorder","superfamily","conf_superfamily","family","conf_family","clustergenera","conf_clustergenera","genus","conf_genus","species","conf_species","species_sex","conf_species_sex","notes","id_box"
"IMG_0386.JPG892117","IMG_0386.JPG",892117,"rect",1041,910,136,180,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0387.JPG891356","IMG_0387.JPG",891356,"rect",1040,920,145,177,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0388.JPG892027","IMG_0388.JPG",892027,"rect",1032,928,149,180,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0389.JPG892774","IMG_0389.JPG",892774,"rect",1036,909,131,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0390.JPG890949","IMG_0390.JPG",890949,"rect",1027,923,150,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0391.JPG890392","IMG_0391.JPG",890392,"rect",1035,931,137,182,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0392.JPG887928","IMG_0392.JPG",887928,"rect",1035,941,142,171,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0393.JPG883332","IMG_0393.JPG",883332,"rect",1041,939,150,174,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0394.JPG885473","IMG_0394.JPG",885473,"rect",1038,936,152,176,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0395.JPG881447","IMG_0395.JPG",881447,"rect",1048,944,136,176,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0396.JPG885354","IMG_0396.JPG",885354,"rect",1043,944,142,169,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0397.JPG886988","IMG_0397.JPG",886988,"rect",1046,950,139,164,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0398.JPG887564","IMG_0398.JPG",887564,"rect",1048,953,137,163,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0399.JPG885922","IMG_0399.JPG",885922,"rect",1032,923,139,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0400.JPG888620","IMG_0400.JPG",888620,"rect",1032,923,145,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0401.JPG888826","IMG_0401.JPG",888826,"rect",1043,923,142,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0402.JPG889711","IMG_0402.JPG",889711,"rect",1040,915,136,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0403.JPG889804","IMG_0403.JPG",889804,"rect",1035,926,142,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0404.JPG889270","IMG_0404.JPG",889270,"rect",1022,934,155,187,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0405.JPG890213","IMG_0405.JPG",890213,"rect",1024,929,156,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0406.JPG891742","IMG_0406.JPG",891742,"rect",1032,921,137,193,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0407.JPG894672","IMG_0407.JPG",894672,"rect",1032,920,134,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0408.JPG893362","IMG_0408.JPG",893362,"rect",1030,916,142,201,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0409.JPG832575","IMG_0409.JPG",832575,"rect",1009,921,156,190,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0410.JPG889785","IMG_0410.JPG",889785,"rect",1027,912,139,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0411.JPG887475","IMG_0411.JPG",887475,"rect",1016,920,150,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0412.JPG840356","IMG_0412.JPG",840356,"rect",1025,920,142,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0413.JPG895889","IMG_0413.JPG",895889,"rect",1022,920,147,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0413.JPG895889","IMG_0413.JPG",895889,"rect",1360,917,409,324,"Hymenoptera","medium",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0414.JPG885767","IMG_0414.JPG",885767,"rect",1025,925,152,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0414.JPG885767","IMG_0414.JPG",885767,"rect",1297,907,396,310,"Hymenoptera","medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0415.JPG885508","IMG_0415.JPG",885508,"rect",1024,914,145,201,"Coleoptera","high",NA,NA,NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0415.JPG885508","IMG_0415.JPG",885508,"rect",1290,899,375,300,"Hymenoptera","medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0416.JPG875843","IMG_0416.JPG",875843,"rect",1021,915,147,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0416.JPG875843","IMG_0416.JPG",875843,"rect",1220,925,367,292,"Hymenoptera","medium",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0417.JPG871877","IMG_0417.JPG",871877,"rect",1016,934,160,179,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia",NA,NA,NA,NA,NA,"dark, unclear image",1
"IMG_0417.JPG871877","IMG_0417.JPG",871877,"rect",1110,735,407,305,"Hymenoptera","medium",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0418.JPG877993","IMG_0418.JPG",877993,"rect",1013,939,144,172,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0418.JPG877993","IMG_0418.JPG",877993,"rect",1108,691,321,367,"Hymenoptera",NA,NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear image",2
"IMG_0419.JPG893225","IMG_0419.JPG",893225,"rect",1012,933,155,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0419.JPG893225","IMG_0419.JPG",893225,"rect",1660,388,295,436,"Hymenoptera","medium",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark, unclear & blurry image",2
"IMG_0420.JPG893050","IMG_0420.JPG",893050,"rect",1014,928,172,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0421.JPG837674","IMG_0421.JPG",837674,"rect",1024,925,152,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0422.JPG895151","IMG_0422.JPG",895151,"rect",1028,933,145,185,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0423.JPG892365","IMG_0423.JPG",892365,"rect",1033,920,145,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0424.JPG884532","IMG_0424.JPG",884532,"rect",1025,925,142,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0425.JPG879109","IMG_0425.JPG",879109,"rect",1020,928,149,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,"low",NA,NA,"dark, unclear image",1
"IMG_0426.JPG868224","IMG_0426.JPG",868224,"rect",982,927,155,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0427.JPG853865","IMG_0427.JPG",853865,"rect",1049,920,161,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0428.JPG862283","IMG_0428.JPG",862283,"rect",1050,913,153,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0429.JPG863369","IMG_0429.JPG",863369,"rect",1051,910,166,201,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0430.JPG865674","IMG_0430.JPG",865674,"rect",1032,921,174,185,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0431.JPG861969","IMG_0431.JPG",861969,"rect",1028,909,198,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0432.JPG862255","IMG_0432.JPG",862255,"rect",1040,915,176,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0433.JPG846189","IMG_0433.JPG",846189,"rect",1007,920,188,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0434.JPG854949","IMG_0434.JPG",854949,"rect",1039,905,174,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0435.JPG853056","IMG_0435.JPG",853056,"rect",1033,925,179,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0436.JPG860058","IMG_0436.JPG",860058,"rect",1040,913,163,203,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0437.JPG862556","IMG_0437.JPG",862556,"rect",1043,913,160,208,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0438.JPG863815","IMG_0438.JPG",863815,"rect",1043,925,166,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0439.JPG867244","IMG_0439.JPG",867244,"rect",1041,911,188,206,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0440.JPG870970","IMG_0440.JPG",870970,"rect",1038,913,188,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0441.JPG867093","IMG_0441.JPG",867093,"rect",1028,912,193,201,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0442.JPG865657","IMG_0442.JPG",865657,"rect",1040,910,161,203,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0443.JPG851205","IMG_0443.JPG",851205,"rect",1020,904,180,208,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0444.JPG858801","IMG_0444.JPG",858801,"rect",1025,915,169,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0445.JPG863874","IMG_0445.JPG",863874,"rect",1038,912,169,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0446.JPG867915","IMG_0446.JPG",867915,"rect",1033,908,184,208,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0447.JPG865206","IMG_0447.JPG",865206,"rect",1031,912,174,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0448.JPG857422","IMG_0448.JPG",857422,"rect",1022,909,171,206,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0449.JPG863250","IMG_0449.JPG",863250,"rect",1033,915,164,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0450.JPG864407","IMG_0450.JPG",864407,"rect",1028,905,192,206,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0451.JPG865765","IMG_0451.JPG",865765,"rect",1025,922,188,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0452.JPG862291","IMG_0452.JPG",862291,"rect",1043,910,174,216,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0453.JPG854792","IMG_0453.JPG",854792,"rect",1030,913,182,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0454.JPG862019","IMG_0454.JPG",862019,"rect",1046,916,174,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0455.JPG859694","IMG_0455.JPG",859694,"rect",1037,909,179,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0456.JPG847369","IMG_0456.JPG",847369,"rect",1019,897,184,216,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0457.JPG865602","IMG_0457.JPG",865602,"rect",1024,915,182,193,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0458.JPG866063","IMG_0458.JPG",866063,"rect",1034,918,177,195,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0459.JPG857378","IMG_0459.JPG",857378,"rect",1031,912,192,190,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0460.JPG859407","IMG_0460.JPG",859407,"rect",1033,909,180,203,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0461.JPG855474","IMG_0461.JPG",855474,"rect",1030,906,177,208,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0462.JPG863659","IMG_0462.JPG",863659,"rect",1036,917,182,201,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0463.JPG860205","IMG_0463.JPG",860205,"rect",1041,918,177,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0464.JPG852106","IMG_0464.JPG",852106,"rect",1012,910,174,198,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0465.JPG856758","IMG_0465.JPG",856758,"rect",1032,912,182,200,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0466.JPG854777","IMG_0466.JPG",854777,"rect",1030,923,184,190,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0467.JPG863696","IMG_0467.JPG",863696,"rect",1032,912,180,203,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0468.JPG865923","IMG_0468.JPG",865923,"rect",1027,904,177,209,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0469.JPG864578","IMG_0469.JPG",864578,"rect",1033,912,179,203,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0470.JPG863406","IMG_0470.JPG",863406,"rect",1033,913,182,192,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0471.JPG853621","IMG_0471.JPG",853621,"rect",1035,919,188,193,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0472.JPG865190","IMG_0472.JPG",865190,"rect",1035,913,190,204,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0473.JPG867785","IMG_0473.JPG",867785,"rect",1032,920,192,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
"IMG_0474.JPG865525","IMG_0474.JPG",865525,"rect",1044,923,168,193,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image",1
